endpoint,source,row_id,Heparin_RT,Heparin_pB_buffer,BVP_high,poly_D_lysine,AUCt
clearance,synthetic,clearance_synthetic_019,3.9821550226513907,3.592506686521262,0.06258533336856618,1.4221135105091465,1217.1216712427472
clearance,synthetic,clearance_synthetic_020,5.040631621134833,3.645330765221111,0.06137079479121949,2.795935552908876,1220.240276846875
clearance,synthetic,clearance_synthetic_021,4.9685660347885925,3.632358198035179,0.06411313748134563,1.6369799228799982,846.5487625407493
clearance,synthetic,clearance_synthetic_022,3.9350537012693247,3.609156156140463,0.060671926623509,1.401635889857704,1248.4169964955745
clearance,synthetic,clearance_synthetic_023,7.801612659349045,5.885026353764397,0.06633192545840302,2.786279749220327,1297.5809842444505
clearance,synthetic,clearance_synthetic_024,10.653895435302152,6.015620632712878,0.07702298270270774,2.4701703437695173,630.5651043223318
clearance,synthetic,clearance_synthetic_025,3.132637569264551,3.4546357259981653,0.06083573917923863,1.401433414349858,1100.1054866708566
clearance,synthetic,clearance_synthetic_026,14.932649856140428,8.5334373070408,0.07459720991715364,4.272033528702692,691.3249680176673
clearance,synthetic,clearance_synthetic_027,5.165515027763272,3.821895897552383,0.06119877827065596,2.250400331323031,1020.2361223234604
clearance,synthetic,clearance_synthetic_028,6.48325661156211,8.886048730183974,0.07601076530583352,3.0724791803104834,268.27156951031066
clearance,synthetic,clearance_synthetic_029,3.2840347027373173,4.653217077830774,0.07445779568309879,2.625424640622311,693.4023089446252
clearance,synthetic,clearance_synthetic_030,16.38023724093566,9.056704636884051,0.07657453825857624,1.7352338334540849,571.3354788487975
clearance,synthetic,clearance_synthetic_031,10.966213093784063,4.690853868978963,0.06603465697908692,1.4448925156353725,1227.6228795589702
clearance,synthetic,clearance_synthetic_032,9.901340691066455,10.439372680890266,0.07696849294758415,4.253400341950033,463.84807686992303
clearance,synthetic,clearance_synthetic_033,3.3911590573137946,3.5345887164855703,0.06567906295164526,2.085088102310931,985.015426186091
clearance,synthetic,clearance_synthetic_034,5.575406904933972,4.181902841149758,0.07666731588742765,2.045660240041202,477.78514489008876
clearance,synthetic,clearance_synthetic_035,17.256465474645825,9.6950673809714,0.07145157599580035,2.7247604513592925,648.3048399980787
clearance,synthetic,clearance_synthetic_036,20.061567433151424,11.7374038,0.07567709732935445,3.2049669909241603,245.75145769208905
clearance,synthetic,clearance_synthetic_037,7.565363462721853,6.943211143001597,0.06640245105106217,2.8709383404700697,544.2319300021647
clearance,synthetic,clearance_synthetic_038,5.227542916777232,5.747452814273382,0.07449306925360032,4.370261918191784,536.3979851717306
clearance,synthetic,clearance_synthetic_039,15.385095756446017,10.243656778379183,0.07200109048860244,1.6163791797773568,812.6253499505526
clearance,synthetic,clearance_synthetic_040,18.800004789597068,11.7374038,0.07150480215233315,4.81,240.55623898165913
clearance,synthetic,clearance_synthetic_041,6.786891581516365,6.5382097587256265,0.06826393937394994,1.467446220753687,845.2063837022495
clearance,synthetic,clearance_synthetic_042,3.5949685729362173,3.5395330338562268,0.06154249681221165,2.1370234365858636,1165.2723847740606
clearance,synthetic,clearance_synthetic_043,3.1919658018102366,3.603462576936139,0.06408897503020429,1.4804599510091374,1223.3782981944955
clearance,synthetic,clearance_synthetic_044,5.242931765569657,6.01757708242234,0.06876780703375807,1.5444841391697826,687.0181249752882
clearance,synthetic,clearance_synthetic_045,15.396300905983612,7.400438041835521,0.061359770223780884,1.7785312887229467,1016.8524960961956
clearance,synthetic,clearance_synthetic_046,15.465575140866788,8.466739866878765,0.0749680036553613,2.1840963205288686,541.4683027984624
clearance,synthetic,clearance_synthetic_047,17.914328462231566,11.7374038,0.07981220430124451,4.437997698494251,439.7413633813592
clearance,synthetic,clearance_synthetic_048,7.193275681309061,6.484114011362241,0.06404677304551946,2.8079675826286525,925.5960490717566
clearance,synthetic,clearance_synthetic_049,7.824960432539486,3.8334605611011234,0.0631956473380707,1.404937103308304,755.3331135680685
clearance,synthetic,clearance_synthetic_050,10.51676196644203,7.891872811669527,0.06711698494256103,1.8819192480302565,659.2880607472339
clearance,synthetic,clearance_synthetic_051,6.884385497862672,3.679736648131408,0.06194877342711729,1.790314081210254,932.5152278817288
clearance,synthetic,clearance_synthetic_052,5.387857791780348,8.012341049635614,0.0759247417982681,2.1161187933193535,707.9495517013886
clearance,synthetic,clearance_synthetic_053,3.609654862985595,6.215101323553368,0.06434502680863856,3.3073753165364908,592.4167296885089
clearance,synthetic,clearance_synthetic_054,3.0699346909690015,4.510945856092867,0.0667326174521867,1.5289351844494887,744.8360159138272
clearance,synthetic,clearance_synthetic_055,5.560424309584021,4.394646761139666,0.06647194076172641,1.9062672615434022,861.9000675507218
clearance,synthetic,clearance_synthetic_056,3.43294550849955,4.424993663459408,0.07280125555281511,1.5921478281611456,866.5297316733806
clearance,synthetic,clearance_synthetic_057,14.813222994033897,8.86055491434334,0.0633130490520871,1.8777481294001421,504.45196122918924
clearance,synthetic,clearance_synthetic_058,15.310073092511717,10.592114263074622,0.06640452768078778,2.7840843417634966,403.6388738133967
clearance,synthetic,clearance_synthetic_059,12.235802121224602,8.661012869116494,0.06748636990126214,1.9550579097953844,837.3388516805112
clearance,synthetic,clearance_synthetic_060,8.907605326579718,8.19219431102191,0.07083058731906475,4.04722221356443,654.1488461499339
clearance,synthetic,clearance_synthetic_061,3.9517160198268577,3.6894158654420224,0.06204085386097932,1.4970644551214578,1046.3892454239399
clearance,synthetic,clearance_synthetic_062,7.245949792038013,7.1493576933178185,0.06752427138253775,2.6410053881892983,629.8652762644738
clearance,synthetic,clearance_synthetic_063,17.618619631554495,10.241919020244376,0.07162778413136818,1.7072229446571705,622.2570915534241
clearance,synthetic,clearance_synthetic_064,7.701086451480766,4.010665220064213,0.06197726811534314,1.6719322571052468,693.645954488137
clearance,synthetic,clearance_synthetic_065,9.718442849025257,8.532739619247778,0.0819,2.30545688902861,515.520066060408
clearance,synthetic,clearance_synthetic_066,13.883226797900877,7.914975576055092,0.07035208529477828,2.3465918193770583,866.9235179429402
clearance,synthetic,clearance_synthetic_067,17.239504652238967,8.60956044191734,0.06631132091493586,4.199286440915407,704.6706757980785
clearance,synthetic,clearance_synthetic_068,11.210380516569524,7.412959154826771,0.07387977666520772,2.382484664591437,681.3477071468133
clearance,synthetic,clearance_synthetic_069,8.1828073618288,5.087097946900049,0.06990398125999304,1.509345843000601,780.9461120457393
clearance,synthetic,clearance_synthetic_070,3.2582857012588122,4.388554171556935,0.07527105792172846,2.888655747252577,781.1701979114775
clearance,synthetic,clearance_synthetic_071,17.80512116501206,8.44241379486094,0.06329003675336439,1.7518928039172452,1112.8175143239828
clearance,synthetic,clearance_synthetic_072,7.842931003748905,6.034123471889874,0.061892462289265884,1.4544925990440019,948.8714253759567
clearance,synthetic,clearance_synthetic_073,13.685079919681446,9.159304165956328,0.07266197475765532,2.779620579029264,615.564712841352
clearance,synthetic,clearance_synthetic_074,9.010343885459715,7.951320855407445,0.06679681417951545,3.4082684172445585,701.7732850269927
clearance,synthetic,clearance_synthetic_075,15.703380443919155,10.647540430524671,0.06113916073218315,1.4908250499976958,640.5746689649732
clearance,synthetic,clearance_synthetic_076,3.5849975206119558,4.30383204299402,0.06417546916477408,1.5785128537107342,791.7026625398314
clearance,synthetic,clearance_synthetic_077,8.187110340048164,6.345614208218057,0.06577532502944844,2.090862970445812,613.8349875091606
clearance,synthetic,clearance_synthetic_078,8.237111436473274,6.388712736966417,0.06246645232036139,2.359882864053165,621.3579469587994
clearance,synthetic,clearance_synthetic_079,6.4257782367547716,7.68700998359575,0.07686098563133978,2.931341731223762,447.0369129594035
clearance,synthetic,clearance_synthetic_080,18.7388035695689,9.532086716712266,0.06075393508565797,2.404026125379855,1158.7380101907036
clearance,synthetic,clearance_synthetic_081,5.670484552821838,3.806442601802708,0.06590019397951262,1.8816772242565285,797.728396637187
clearance,synthetic,clearance_synthetic_082,3.6468986488468795,3.75080605161593,0.06983892431231017,1.8784473225330656,993.7947304831814
clearance,synthetic,clearance_synthetic_083,10.167674259491804,10.26573708421988,0.06657724371892396,2.0708036247340513,771.4927672319898
