head,fold,row_index,role,true_label
mlp,1,13,fold_validation,Terminated
mlp,1,16,fold_validation,Approved
mlp,1,24,fold_validation,Approved
mlp,1,26,fold_validation,Terminated
mlp,1,30,fold_validation,Approved
mlp,1,33,fold_validation,Terminated
mlp,1,41,fold_validation,Approved
mlp,1,43,fold_validation,Terminated
mlp,1,45,fold_validation,Approved
mlp,1,53,fold_validation,Terminated
mlp,1,56,fold_validation,Approved
mlp,1,63,fold_validation,Terminated
mlp,1,66,fold_validation,Terminated
mlp,1,78,fold_validation,Approved
mlp,1,88,fold_validation,Approved
mlp,2,0,fold_train,Approved
mlp,2,1,fold_train,Approved
mlp,2,2,fold_train,Approved
mlp,2,4,fold_train,Approved
mlp,2,5,fold_train,Terminated
mlp,2,7,fold_train,Terminated
mlp,2,8,fold_train,Approved
mlp,2,9,fold_train,Approved
mlp,2,10,fold_train,Approved
mlp,2,11,fold_train,Approved
mlp,2,12,fold_train,Approved
mlp,2,13,fold_train,Terminated
mlp,2,14,fold_train,Terminated
mlp,2,15,fold_train,Approved
mlp,2,16,fold_train,Approved
mlp,2,17,fold_train,Terminated
mlp,2,19,fold_train,Terminated
mlp,2,20,fold_train,Terminated
mlp,2,21,fold_train,Terminated
mlp,2,23,fold_train,Terminated
mlp,2,24,fold_train,Approved
mlp,2,25,fold_train,Approved
mlp,2,26,fold_train,Terminated
mlp,2,28,fold_train,Terminated
mlp,2,29,fold_train,Approved
mlp,2,30,fold_train,Approved
mlp,2,31,fold_train,Terminated
mlp,2,32,fold_train,Terminated
mlp,2,33,fold_train,Terminated
mlp,2,34,fold_train,Approved
mlp,2,35,fold_train,Approved
mlp,2,36,fold_train,Approved
mlp,2,37,fold_train,Approved
mlp,2,38,fold_train,Terminated
mlp,2,39,fold_train,Approved
mlp,2,40,fold_train,Approved
mlp,2,41,fold_train,Approved
mlp,2,43,fold_train,Terminated
mlp,2,44,fold_train,Terminated
mlp,2,45,fold_train,Approved
mlp,2,46,fold_train,Approved
mlp,2,47,fold_train,Approved
mlp,2,49,fold_train,Terminated
mlp,2,52,fold_train,Approved
mlp,2,53,fold_train,Terminated
mlp,2,55,fold_train,Approved
mlp,2,56,fold_train,Approved
mlp,2,57,fold_train,Terminated
mlp,2,58,fold_train,Terminated
mlp,2,59,fold_train,Approved
mlp,2,60,fold_train,Approved
mlp,2,63,fold_train,Terminated
mlp,2,64,fold_train,Approved
mlp,2,65,fold_train,Terminated
mlp,2,66,fold_train,Terminated
mlp,2,67,fold_train,Approved
mlp,2,68,fold_train,Approved
mlp,2,69,fold_train,Approved
mlp,2,70,fold_train,Approved
mlp,2,71,fold_train,Approved
mlp,2,72,fold_train,Approved
mlp,2,74,fold_train,Approved
mlp,2,76,fold_train,Approved
mlp,2,78,fold_train,Approved
mlp,2,81,fold_train,Approved
mlp,2,83,fold_train,Terminated
mlp,2,84,fold_train,Approved
mlp,2,85,fold_train,Terminated
mlp,2,86,fold_train,Approved
mlp,2,87,fold_train,Approved
mlp,2,88,fold_train,Approved
mlp,2,3,fold_validation,Terminated
mlp,2,6,fold_validation,Approved
mlp,2,18,fold_validation,Approved
mlp,2,22,fold_validation,Terminated
mlp,2,27,fold_validation,Terminated
mlp,2,42,fold_validation,Terminated
mlp,2,48,fold_validation,Terminated
mlp,2,50,fold_validation,Terminated
mlp,2,51,fold_validation,Approved
mlp,2,54,fold_validation,Terminated
mlp,2,61,fold_validation,Terminated
mlp,2,62,fold_validation,Approved
mlp,2,73,fold_validation,Terminated
mlp,2,75,fold_validation,Terminated
mlp,2,77,fold_validation,Terminated
mlp,2,79,fold_validation,Terminated
mlp,2,80,fold_validation,Approved
mlp,2,82,fold_validation,Approved
mlp,3,1,fold_train,Approved
mlp,3,2,fold_train,Approved
mlp,3,3,fold_train,Terminated
mlp,3,6,fold_train,Approved
mlp,3,7,fold_train,Terminated
mlp,3,8,fold_train,Approved
mlp,3,9,fold_train,Approved
mlp,3,10,fold_train,Approved
mlp,3,12,fold_train,Approved
mlp,3,13,fold_train,Terminated
mlp,3,14,fold_train,Terminated
mlp,3,16,fold_train,Approved
mlp,3,18,fold_train,Approved
mlp,3,19,fold_train,Terminated
mlp,3,20,fold_train,Terminated
mlp,3,21,fold_train,Terminated
mlp,3,22,fold_train,Terminated
mlp,3,24,fold_train,Approved
mlp,3,25,fold_train,Approved
mlp,3,26,fold_train,Terminated
mlp,3,27,fold_train,Terminated
mlp,3,29,fold_train,Approved
mlp,3,30,fold_train,Approved
mlp,3,31,fold_train,Terminated
mlp,3,32,fold_train,Terminated
mlp,3,33,fold_train,Terminated
mlp,3,36,fold_train,Approved
mlp,3,37,fold_train,Approved
mlp,3,39,fold_train,Approved
mlp,3,41,fold_train,Approved
mlp,3,42,fold_train,Terminated
mlp,3,43,fold_train,Terminated
mlp,3,44,fold_train,Terminated
mlp,3,45,fold_train,Approved
mlp,3,46,fold_train,Approved
mlp,3,47,fold_train,Approved
mlp,3,48,fold_train,Terminated
mlp,3,49,fold_train,Terminated
mlp,3,50,fold_train,Terminated
mlp,3,51,fold_train,Approved
mlp,3,53,fold_train,Terminated
mlp,3,54,fold_train,Terminated
mlp,3,56,fold_train,Approved
mlp,3,57,fold_train,Terminated
mlp,3,58,fold_train,Terminated
mlp,3,60,fold_train,Approved
mlp,3,61,fold_train,Terminated
mlp,3,62,fold_train,Approved
mlp,3,63,fold_train,Terminated
mlp,3,64,fold_train,Approved
mlp,3,65,fold_train,Terminated
mlp,3,66,fold_train,Terminated
mlp,3,67,fold_train,Approved
mlp,3,69,fold_train,Approved
mlp,3,70,fold_train,Approved
mlp,3,71,fold_train,Approved
mlp,3,72,fold_train,Approved
mlp,3,73,fold_train,Terminated
mlp,3,75,fold_train,Terminated
mlp,3,76,fold_train,Approved
mlp,3,77,fold_train,Terminated
mlp,3,78,fold_train,Approved
mlp,3,79,fold_train,Terminated
mlp,3,80,fold_train,Approved
mlp,3,82,fold_train,Approved
mlp,3,83,fold_train,Terminated
mlp,3,84,fold_train,Approved
mlp,3,85,fold_train,Terminated
mlp,3,86,fold_train,Approved
mlp,3,87,fold_train,Approved
mlp,3,88,fold_train,Approved
mlp,3,0,fold_validation,Approved
mlp,3,4,fold_validation,Approved
mlp,3,5,fold_validation,Terminated
mlp,3,11,fold_validation,Approved
mlp,3,15,fold_validation,Approved
mlp,3,17,fold_validation,Terminated
mlp,3,23,fold_validation,Terminated
mlp,3,28,fold_validation,Terminated
mlp,3,34,fold_validation,Approved
mlp,3,35,fold_validation,Approved
mlp,3,38,fold_validation,Terminated
mlp,3,40,fold_validation,Approved
mlp,3,52,fold_validation,Approved
mlp,3,55,fold_validation,Approved
mlp,3,59,fold_validation,Approved
mlp,3,68,fold_validation,Approved
mlp,3,74,fold_validation,Approved
mlp,3,81,fold_validation,Approved
mlp,4,0,fold_train,Approved
mlp,4,2,fold_train,Approved
mlp,4,3,fold_train,Terminated
mlp,4,4,fold_train,Approved
mlp,4,5,fold_train,Terminated
mlp,4,6,fold_train,Approved
mlp,4,7,fold_train,Terminated
mlp,4,8,fold_train,Approved
mlp,4,9,fold_train,Approved
mlp,4,11,fold_train,Approved
mlp,4,12,fold_train,Approved
mlp,4,13,fold_train,Terminated
mlp,4,15,fold_train,Approved
mlp,4,16,fold_train,Approved
mlp,4,17,fold_train,Terminated
mlp,4,18,fold_train,Approved
mlp,4,21,fold_train,Terminated
mlp,4,22,fold_train,Terminated
mlp,4,23,fold_train,Terminated
mlp,4,24,fold_train,Approved
mlp,4,25,fold_train,Approved
mlp,4,26,fold_train,Terminated
mlp,4,27,fold_train,Terminated
mlp,4,28,fold_train,Terminated
mlp,4,30,fold_train,Approved
mlp,4,33,fold_train,Terminated
mlp,4,34,fold_train,Approved
mlp,4,35,fold_train,Approved
mlp,4,36,fold_train,Approved
mlp,4,37,fold_train,Approved
mlp,4,38,fold_train,Terminated
mlp,4,39,fold_train,Approved
mlp,4,40,fold_train,Approved
mlp,4,41,fold_train,Approved
mlp,4,42,fold_train,Terminated
mlp,4,43,fold_train,Terminated
mlp,4,44,fold_train,Terminated
mlp,4,45,fold_train,Approved
mlp,4,46,fold_train,Approved
mlp,4,47,fold_train,Approved
mlp,4,48,fold_train,Terminated
mlp,4,50,fold_train,Terminated
mlp,4,51,fold_train,Approved
mlp,4,52,fold_train,Approved
mlp,4,53,fold_train,Terminated
mlp,4,54,fold_train,Terminated
mlp,4,55,fold_train,Approved
mlp,4,56,fold_train,Approved
mlp,4,58,fold_train,Terminated
mlp,4,59,fold_train,Approved
mlp,4,61,fold_train,Terminated
mlp,4,62,fold_train,Approved
mlp,4,63,fold_train,Terminated
mlp,4,64,fold_train,Approved
mlp,4,65,fold_train,Terminated
mlp,4,66,fold_train,Terminated
mlp,4,67,fold_train,Approved
mlp,4,68,fold_train,Approved
mlp,4,70,fold_train,Approved
mlp,4,72,fold_train,Approved
mlp,4,73,fold_train,Terminated
mlp,4,74,fold_train,Approved
mlp,4,75,fold_train,Terminated
mlp,4,77,fold_train,Terminated
mlp,4,78,fold_train,Approved
mlp,4,79,fold_train,Terminated
mlp,4,80,fold_train,Approved
mlp,4,81,fold_train,Approved
mlp,4,82,fold_train,Approved
mlp,4,85,fold_train,Terminated
mlp,4,88,fold_train,Approved
mlp,4,1,fold_validation,Approved
mlp,4,10,fold_validation,Approved
mlp,4,14,fold_validation,Terminated
mlp,4,19,fold_validation,Terminated
mlp,4,20,fold_validation,Terminated
mlp,4,29,fold_validation,Approved
mlp,4,31,fold_validation,Terminated
mlp,4,32,fold_validation,Terminated
mlp,4,49,fold_validation,Terminated
mlp,4,57,fold_validation,Terminated
mlp,4,60,fold_validation,Approved
mlp,4,69,fold_validation,Approved
mlp,4,71,fold_validation,Approved
mlp,4,76,fold_validation,Approved
mlp,4,83,fold_validation,Terminated
mlp,4,84,fold_validation,Approved
mlp,4,86,fold_validation,Approved
mlp,4,87,fold_validation,Approved
mlp,5,0,fold_train,Approved
mlp,5,1,fold_train,Approved
mlp,5,2,fold_train,Approved
mlp,5,3,fold_train,Terminated
mlp,5,4,fold_train,Approved
mlp,5,5,fold_train,Terminated
mlp,5,6,fold_train,Approved
mlp,5,7,fold_train,Terminated
mlp,5,8,fold_train,Approved
mlp,5,10,fold_train,Approved
mlp,5,11,fold_train,Approved
mlp,5,13,fold_train,Terminated
mlp,5,14,fold_train,Terminated
mlp,5,15,fold_train,Approved
mlp,5,16,fold_train,Approved
mlp,5,17,fold_train,Terminated
mlp,5,18,fold_train,Approved
mlp,5,19,fold_train,Terminated
mlp,5,20,fold_train,Terminated
mlp,5,22,fold_train,Terminated
mlp,5,23,fold_train,Terminated
mlp,5,24,fold_train,Approved
mlp,5,26,fold_train,Terminated
mlp,5,27,fold_train,Terminated
mlp,5,28,fold_train,Terminated
mlp,5,29,fold_train,Approved
mlp,5,30,fold_train,Approved
mlp,5,31,fold_train,Terminated
mlp,5,32,fold_train,Terminated
mlp,5,33,fold_train,Terminated
mlp,5,34,fold_train,Approved
mlp,5,35,fold_train,Approved
mlp,5,38,fold_train,Terminated
mlp,5,40,fold_train,Approved
mlp,5,41,fold_train,Approved
mlp,5,42,fold_train,Terminated
mlp,5,43,fold_train,Terminated
mlp,5,45,fold_train,Approved
mlp,5,48,fold_train,Terminated
mlp,5,49,fold_train,Terminated
mlp,5,50,fold_train,Terminated
mlp,5,51,fold_train,Approved
mlp,5,52,fold_train,Approved
mlp,5,53,fold_train,Terminated
mlp,5,54,fold_train,Terminated
mlp,5,55,fold_train,Approved
mlp,5,56,fold_train,Approved
mlp,5,57,fold_train,Terminated
mlp,5,59,fold_train,Approved
mlp,5,60,fold_train,Approved
mlp,5,61,fold_train,Terminated
mlp,5,62,fold_train,Approved
mlp,5,63,fold_train,Terminated
mlp,5,66,fold_train,Terminated
mlp,5,68,fold_train,Approved
mlp,5,69,fold_train,Approved
mlp,5,71,fold_train,Approved
mlp,5,73,fold_train,Terminated
mlp,5,74,fold_train,Approved
mlp,5,75,fold_train,Terminated
mlp,5,76,fold_train,Approved
mlp,5,77,fold_train,Terminated
mlp,5,78,fold_train,Approved
mlp,5,79,fold_train,Terminated
mlp,5,80,fold_train,Approved
mlp,5,81,fold_train,Approved
mlp,5,82,fold_train,Approved
mlp,5,83,fold_train,Terminated
mlp,5,84,fold_train,Approved
mlp,5,86,fold_train,Approved
mlp,5,87,fold_train,Approved
mlp,5,88,fold_train,Approved
mlp,5,9,fold_validation,Approved
mlp,5,12,fold_validation,Approved
mlp,5,21,fold_validation,Terminated
mlp,5,25,fold_validation,Approved
mlp,5,36,fold_validation,Approved
mlp,5,37,fold_validation,Approved
mlp,5,39,fold_validation,Approved
mlp,5,44,fold_validation,Terminated
mlp,5,46,fold_validation,Approved
mlp,5,47,fold_validation,Approved
mlp,5,58,fold_validation,Terminated
mlp,5,64,fold_validation,Approved
mlp,5,65,fold_validation,Terminated
mlp,5,67,fold_validation,Approved
mlp,5,70,fold_validation,Approved
mlp,5,72,fold_validation,Approved
mlp,5,85,fold_validation,Terminated
