Name,AS,PSR,ACSINS,ELISA,BVP,Outcome
bococizumab,0.07,0.76,29.6,13.5,18.88,Terminated
alirocumab,0.03,0.0,1.2,1.2,2.18,Approved
nivolumab,0.03,0.14,2.4,1.15,1.32,Approved
cixutumumab,0.16,0.66,29.6,3.77,11.9,Terminated
daclizumab,0.03,0.0,-0.1,1.18,1.41,Approved
zanolimumab,0.03,0.13,1.5,1.1,1.46,Terminated
teplizumab,0.06,0.31,11.2,1.67,3.84,Approved
fletikumab,0.02,0.0,-0.1,1.02,1.41,Terminated
parsatuzumab,0.09,0.13,7.4,10.05,17.4,Terminated
dinutuximab,0.01,0.3,3.6,1.03,1.69,Approved
secukinumab,0.05,0.0,-0.6,1.09,1.69,Approved
omalizumab,0.05,0.0,-0.4,1.12,1.17,Approved
belimumab,0.13,0.0,0.8,3.61,12.23,Approved
ixekizumab,0.16,0.81,20.0,8.8,10.4,Approved
alemtuzumab,0.06,0.0,-0.8,1.16,1.46,Approved
enokizumab,0.09,0.13,1.5,1.17,3.24,Terminated
efalizumab,0.0,0.0,0.7,0.98,1.24,Approved
lampalizumab,0.09,0.0,0.5,1.11,1.34,Terminated
palivizumab,0.04,0.0,-0.9,1.12,2.88,Approved
figitumumab,0.06,0.38,29.6,2.89,5.65,Terminated
infliximab,0.18,0.0,29.6,1.04,1.37,Approved
dacetuzumab,0.0,0.0,0.0,1.08,1.34,Terminated
rituximab,0.03,0.38,2.1,1.19,2.93,Approved
evolocumab,0.03,0.2,2.2,1.75,1.75,Approved
pembrolizumab,0.03,0.3,5.6,1.28,2.23,Approved
motavizumab,0.04,0.0,2.5,1.23,5.36,Terminated
benralizumab,0.02,0.35,6.0,1.23,1.42,Approved
pinatuzumab,0.07,0.01,0.6,1.27,2.49,Terminated
ramucirumab,0.02,0.0,0.0,1.05,1.25,Approved
tremelimumab,0.02,0.15,29.6,1.21,1.97,Approved
ranibizumab,0.09,0.0,7.9,1.61,3.14,Approved
